Maturity,Coupon,Bid,Asked,Chg,Asked Yield
12/31/2019,1.625,100.4219,100.4375,-0.0547,1.47
1/15/2020,1.375,99.6953,99.7109,-0.0234,1.476
1/31/2020,1.25,99.2891,99.3047,-0.0234,1.489
1/31/2020,1.375,99.6797,99.6953,-0.0391,1.48
2/15/2020,3.625,106.2422,106.2578,-0.0625,1.501
2/15/2020,8.5,120.6719,120.6875,-0.1172,1.48
2/29/2020,1.25,99.1953,99.2109,-0.0391,1.515
2/29/2020,1.375,99.5313,99.5469,-0.0547,1.527
3/31/2020,1.125,98.7422,98.7578,-0.0391,1.531
3/31/2020,1.375,99.4609,99.4766,-0.0391,1.546
4/30/2020,1.125,98.6406,98.6563,-0.0391,1.553
4/30/2020,1.375,99.3594,99.375,-0.0547,1.574
5/15/2020,3.5,106.0703,106.0859,-0.0547,1.583
5/15/2020,8.75,122.7656,122.7813,-0.1172,1.575
5/31/2020,1.375,99.2656,99.2813,-0.0547,1.598
5/31/2020,1.5,99.6797,99.6953,-0.0078,1.595
6/30/2020,1.625,100.0156,100.0313,-0.0234,1.615
6/30/2020,1.875,100.8828,100.8984,-0.0313,1.602
7/31/2020,1.625,99.9141,99.9297,-0.0547,1.646
7/31/2020,2,101.2109,101.2266,-0.0703,1.636
8/15/2020,2.625,103.3047,103.3203,-0.0625,1.651
8/15/2020,8.75,124.25,124.2656,-0.1172,1.636
8/31/2020,1.375,99.0078,99.0234,-0.0547,1.659
8/31/2020,2.125,101.6016,101.6172,-0.0625,1.655
9/30/2020,1.375,98.9063,98.9219,-0.0547,1.681
9/30/2020,2,101.1484,101.1641,-0.0703,1.669
10/31/2020,1.375,98.7969,98.8125,-0.0625,1.705
10/31/2020,1.75,100.1953,100.2109,-0.0625,1.691
11/15/2020,2.625,103.3125,103.3281,-0.0703,1.71
11/30/2020,1.625,99.6016,99.6172,-0.0625,1.729
11/30/2020,2,100.9844,101,-0.0781,1.728
12/31/2020,1.75,100,100.0156,-0.0547,1.746
12/31/2020,2.375,102.375,102.3906,-0.0625,1.738
1/31/2021,1.375,98.4688,98.4844,-0.0625,1.771
1/31/2021,2.125,101.3516,101.3672,-0.0469,1.768
2/15/2021,3.625,107.25,107.2656,-0.0703,1.747
2/15/2021,7.875,123.5703,123.5859,-0.125,1.776
2/28/2021,1.125,97.375,97.3906,-0.0547,1.794
2/28/2021,2,100.8438,100.8594,-0.0547,1.78
3/31/2021,1.25,97.75,97.7656,-0.0391,1.812
3/31/2021,2.25,101.75,101.7656,-0.0703,1.806
4/30/2021,1.375,98.1406,98.1563,-0.0625,1.83
4/30/2021,2.25,101.7188,101.7344,-0.0703,1.822
5/15/2021,3.125,105.2969,105.3125,-0.0469,1.826
5/15/2021,8.125,125.7578,125.7734,-0.1094,1.824
5/31/2021,1.375,98.0234,98.0391,-0.0703,1.85
5/31/2021,2,100.6172,100.6328,-0.0625,1.846
6/30/2021,1.125,96.8906,96.9063,-0.0625,1.861
6/30/2021,2.125,101.1094,101.125,-0.0469,1.857
7/31/2021,1.125,96.7734,96.7891,-0.0469,1.875
7/31/2021,2.25,101.5938,101.6094,-0.0391,1.874
8/15/2021,2.125,101.0078,101.0234,-0.0469,1.888
8/15/2021,8.125,127.0156,127.0313,-0.1094,1.867
8/31/2021,1.125,96.6875,96.7031,-0.0469,1.883
8/31/2021,2,100.4219,100.4375,-0.0703,1.899
9/30/2021,1.125,96.5391,96.5547,-0.0469,1.903
9/30/2021,2.125,100.9297,100.9453,-0.0547,1.911
10/31/2021,1.25,96.9766,96.9922,-0.0547,1.918
10/31/2021,2,100.3047,100.3203,-0.0625,1.929
11/15/2021,2,100.3125,100.3281,-0.0469,1.927
11/15/2021,8,127.6953,127.7109,-0.125,1.896
11/30/2021,1.75,99.2422,99.2578,-0.0391,1.912
11/30/2021,1.875,99.7344,99.75,-0.0625,1.929
12/31/2021,2,100.3203,100.3359,-0.0313,1.928
12/31/2021,2.125,100.875,100.8906,-0.0313,1.933
1/31/2022,1.5,97.8359,97.8516,-0.0469,1.955
