PERMNO,date,TICKER,PRC,SHROUT
14702,20130430,AMAT,14.51000,1201601
14702,20130531,AMAT,15.20000,1201601
14702,20130628,AMAT,14.92000,1201601
14702,20130731,AMAT,16.31500,1202826
14702,20130830,AMAT,15.01000,1202826
14702,20130930,AMAT,17.53100,1202826
14702,20131031,AMAT,17.85500,1204000
14702,20131129,AMAT,17.30000,1204000
14702,20131231,AMAT,17.68000,1204000
15579,20130131,TXN,33.08000,1104787
15579,20130228,TXN,34.42800,1106587
15579,20130328,TXN,35.48000,1109154
15579,20130430,TXN,36.21000,1109154
15579,20130531,TXN,35.91000,1109154
15579,20130628,TXN,34.85000,1101173
15579,20130731,TXN,39.18000,1101173
15579,20130830,TXN,38.20000,1101173
15579,20130930,TXN,40.29000,1094563
15579,20131031,TXN,42.08500,1094563
15579,20131129,TXN,43.00000,1094563
15579,20131231,TXN,43.91000,1094563
25778,20130131,CA,24.82000,455924
25778,20130228,CA,24.51000,455924
25778,20130328,CA,25.18000,448149
25778,20130430,CA,26.97000,448149
25778,20130531,CA,27.32000,453184
25778,20130628,CA,28.62000,450557
25778,20130731,CA,29.74000,455629
25778,20130830,CA,29.25000,455629
25778,20130930,CA,29.67000,446647
25778,20131031,CA,31.76000,451274
25778,20131129,CA,33.00000,451274
25778,20131231,CA,33.65000,451274
39538,20130131,MAT,37.63000,342300
39538,20130228,MAT,40.75000,344512
39538,20130328,MAT,43.77000,345200
39538,20130430,MAT,45.66000,345398
39538,20130531,MAT,44.75000,345398
39538,20130628,MAT,45.31000,345200
39538,20130731,MAT,42.03000,344556
39538,20130830,MAT,40.50000,344556
39538,20130930,MAT,41.88000,340300
39538,20131031,MAT,44.37900,338434
39538,20131129,MAT,46.27000,338434
39538,20131231,MAT,47.58000,338434
44644,20130131,ADP,59.29000,485017
44644,20130228,ADP,61.36000,485017
44644,20130328,ADP,65.03000,485100
44644,20130430,ADP,67.34000,485222
44644,20130531,ADP,68.72000,485222
44644,20130628,ADP,68.86000,482600
44644,20130731,ADP,72.09200,482600
44644,20130830,ADP,71.16000,482823
44644,20130930,ADP,72.38000,481800
44644,20131031,ADP,75.02500,481425
44644,20131129,ADP,80.02000,481425
44644,20131231,ADP,80.79900,481425
46886,20130131,KLAC,54.91000,166145
46886,20130228,KLAC,54.76000,166145
46886,20130328,KLAC,52.74000,165886
46886,20130430,KLAC,54.25000,165886
46886,20130531,KLAC,56.29000,165886
46886,20130628,KLAC,55.73000,165435
46886,20130731,KLAC,58.63000,165732
46886,20130830,KLAC,55.15000,165732
46886,20130930,KLAC,60.85000,166649
46886,20131031,KLAC,65.60000,166649
46886,20131129,KLAC,63.87000,166649
46886,20131231,KLAC,64.46000,166649
53613,20130131,MU,7.56000,1021781
53613,20130228,MU,8.37500,1026600
53613,20130328,MU,9.97500,1026600
53613,20130430,MU,9.42000,1030105
53613,20130531,MU,11.68000,1034700
53613,20130628,MU,14.33000,1034700
53613,20130731,MU,13.24000,1038475
53613,20130830,MU,13.57000,1044400
53613,20130930,MU,17.46900,1044400
53613,20131031,MU,17.68000,1051855
53613,20131129,MU,21.10000,1051855
53613,20131231,MU,21.75000,1051855
59328,20130131,INTC,21.04000,4944000
59328,20130228,INTC,20.88000,4946000
59328,20130328,INTC,21.83500,4948000
59328,20130430,INTC,23.95000,4971000
59328,20130531,INTC,24.28000,4971000
59328,20130628,INTC,24.23000,4981000
59328,20130731,INTC,23.33500,4982000
59328,20130830,INTC,21.98000,4982000
59328,20130930,INTC,22.92100,4973000
59328,20131031,INTC,24.47000,4971000
59328,20131129,INTC,23.84000,4971000
59328,20131231,INTC,25.95500,4971000
60506,20130131,PCAR,47.06000,353468
